p,h2,alpha,N,num,Method,jump_sign,use_mle,n_keep_infer,n_keep_pred,r2_1,r2_2,r2_3,r2_est_1,r2_est_2,r2_est_3,h2_est_1,h2_est_2,h2_est_3,p_est_1,p_est_2,p_est_3,alpha_est_1,alpha_est_2,alpha_est_3
0.1,0.01,0,20000,1,LDpred2-auto_newfilter,FALSE,TRUE,5,4,0.0001975,8.147e-05,0.0003698,0.0003365,2.43e-06,0.001176,0.006119,0.001166,0.03399,0.01058,0.002896,0.02306,0.2154,-1.194,0.5
0.1,0.01,0,20000,1,LDpred2-auto_noMLE,FALSE,FALSE,3,3,0.0001635,6.134e-05,0.0003148,3.064e-05,-3.543e-05,0.0001842,0.004564,0.001266,0.01354,0.006762,0.001269,0.01291,,,
0.1,0.01,0,20000,1,LDpred2-auto_nojump,FALSE,TRUE,4,4,0.0002119,9.216e-05,0.0003806,0.0003806,5.01e-07,0.001432,0.01722,0.002029,0.04125,0.01252,0.003444,0.02247,-0.1409,-0.8762,0.5
0.1,0.01,0,20000,1,LDpred2-auto_jump,TRUE,TRUE,6,6,0.0001818,7.274e-05,0.00034,0.00208,0.0008714,0.003907,0.04751,0.02722,0.06991,0.1032,0.03593,0.2003,-1.078,-1.496,-0.07199
0.1,0.01,0,20000,1,SBayesS,,,,,0.0001829,7.345e-05,0.0003415,0.0003879,9.339e-05,0.0008096,0.01612,0.01298,0.02362,0.06018,0.0486,0.07481,-0.4965,-0.581,-0.3612
0.1,0.01,0,20000,1,LDSc,,,,,,,,,,,0.01305,-0.009102,0.03521,,,,,,
0.1,0.01,0,2e+05,1,LDpred2-auto_newfilter,FALSE,TRUE,16,17,0.001277,0.0009532,0.001642,0.001134,0.0006954,0.001675,0.008758,0.005314,0.01276,0.01072,0.003985,0.02127,0.1942,-0.5264,0.5
0.1,0.01,0,2e+05,1,LDpred2-auto_noMLE,FALSE,FALSE,47,47,0.001192,0.0008744,0.001558,0.0009945,0.000727,0.001259,0.009643,0.007258,0.01127,0.01135,0.003259,0.02504,,,
0.1,0.01,0,2e+05,1,LDpred2-auto_nojump,FALSE,TRUE,40,40,0.001286,0.0009556,0.001666,0.001115,0.0006594,0.001668,0.009199,0.005729,0.01307,0.01312,0.005218,0.02452,0.0759,-0.5648,0.5
0.1,0.01,0,2e+05,1,LDpred2-auto_jump,TRUE,TRUE,25,25,0.001354,0.001014,0.001743,0.001358,0.0008598,0.001946,0.01117,0.007496,0.01496,0.06632,0.01158,0.2552,-0.3144,-0.8716,0.4353
0.1,0.01,0,2e+05,1,SBayesS,,,,,0.001308,0.0009748,0.001691,0.001199,0.0009505,0.001551,0.009482,0.008037,0.01186,0.06176,0.04715,0.07908,0.2501,0.06689,0.3313
0.1,0.01,0,2e+05,1,LDSc,,,,,,,,,,,0.01204,0.008714,0.01537,,,,,,
0.1,0.01,-0.5,20000,1,LDpred2-auto_newfilter,FALSE,TRUE,4,3,0.000206,8.682e-05,0.000358,0.00105,0.0002291,0.002584,0.01622,0.005123,0.03216,0.01077,0.004174,0.02443,-0.2997,-1.244,0.3683
0.1,0.01,-0.5,20000,1,LDpred2-auto_noMLE,FALSE,FALSE,3,3,0.0002048,8.751e-05,0.0003711,0.000702,0.0002428,0.001403,0.02273,0.0129,0.03415,0.00506,0.001315,0.01837,,,
0.1,0.01,-0.5,20000,1,LDpred2-auto_nojump,FALSE,TRUE,5,5,0.000213,9.289e-05,0.0003821,0.00071,0.0001273,0.001955,0.02153,0.008124,0.045,0.01118,0.003373,0.01977,-0.1475,-1.25,0.4992
0.1,0.01,-0.5,20000,1,LDpred2-auto_jump,TRUE,TRUE,5,5,0.0001866,7.575e-05,0.0003465,0.003446,0.002193,0.005214,0.05515,0.03884,0.07438,0.1008,0.0304,0.4116,-0.5035,-1.174,0.2066
0.1,0.01,-0.5,20000,1,SBayesS,,,,,0.0002023,8.587e-05,0.0003677,0.0007623,0.0003403,0.001263,0.02071,0.01714,0.02765,0.07217,0.05613,0.09022,-0.08397,-0.1939,0.002871
0.1,0.01,-0.5,20000,1,LDSc,,,,,,,,,,,0.02002,-0.004471,0.04451,,,,,,
0.1,0.01,-0.5,20000,2,LDpred2-auto_newfilter,FALSE,TRUE,0,3,0.0001262,3.202e-05,0.0002512,0.0001309,-3.024e-05,0.0006436,,,,,,,,,
0.1,0.01,-0.5,20000,2,LDpred2-auto_noMLE,FALSE,FALSE,4,4,0.0001279,3.893e-05,0.0002707,3.249e-06,-2.446e-05,3.582e-05,0.001746,0.001,0.004616,0.007147,0.001725,0.017,,,
0.1,0.01,-0.5,20000,2,LDpred2-auto_nojump,FALSE,TRUE,4,4,0.0001311,4.383e-05,0.0002689,0.0001092,-4.263e-05,0.0005187,0.008601,0.002867,0.02464,0.01059,0.003751,0.0193,-0.3329,-1.309,0.5
0.1,0.01,-0.5,20000,2,LDpred2-auto_jump,TRUE,TRUE,4,4,0.0001391,4.361e-05,0.0002822,0.0009428,0.0003022,0.002007,0.02914,0.01546,0.04679,0.07142,0.03476,0.1135,-0.4913,-1.399,0.2369
0.1,0.01,-0.5,20000,2,SBayesS,,,,,2.901e-05,2.375e-07,0.0001065,4.238e-06,-2.462e-05,3.356e-05,0.001603,0.00133,0.001963,0.07036,0.05464,0.09054,-0.4085,-0.5165,-0.2195
0.1,0.01,-0.5,20000,2,LDSc,,,,,,,,,,,-0.006495,-0.02337,0.01038,,,,,,
0.1,0.01,-0.5,20000,3,LDpred2-auto_newfilter,FALSE,TRUE,2,3,0.0001239,3.996e-05,0.0002545,0.0001707,-2.471e-05,0.0009414,0.0029,0.001,0.006631,0.0111,0.004422,0.01958,-0.1581,-1.139,0.4315
0.1,0.01,-0.5,20000,3,LDpred2-auto_noMLE,FALSE,FALSE,4,4,0.000114,3.02e-05,0.0002412,3.436e-06,-1.985e-05,3.099e-05,0.001212,0.001,0.003661,0.007086,0.001104,0.01927,,,
