p,h2,alpha,K,num,logistic,Method,jump_sign,use_mle,n_keep,r2_1,r2_2,r2_3,r2_est_1,r2_est_2,r2_est_3,h2_est_1,h2_est_2,h2_est_3,p_est_1,p_est_2,p_est_3,alpha_est_1,alpha_est_2,alpha_est_3
0.1,0.01,0,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,5,1.757e-05,-2.991e-07,8.742e-05,1.527e-05,-2.391e-06,3.744e-05,0.001096,0.001,0.001684,0.006548,0.00123,0.01947,,,
0.1,0.01,0,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,5,1.783e-05,-3.935e-07,8.16e-05,1.576e-05,-2.753e-06,8.767e-05,0.001083,0.001,0.003252,0.009928,0.001498,0.01998,0.4209,-1.116,0.5
0.1,0.01,0,0.02,1,FALSE,SBayesS,,,,2.254e-06,-1.327e-05,3.999e-05,1.768e-05,-1.837e-06,4.585e-05,0.001099,0.0008412,0.001921,0.05565,0.04445,0.07152,-0.3904,-0.5926,-0.2466
0.1,0.01,0,0.02,1,FALSE,LDSc,,,,,,,,,,0.000511,-0.001664,0.002686,,,,,,
0.1,0.01,0,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,3,1.634e-05,-5.247e-07,8.005e-05,5.601e-06,-3.425e-05,7.878e-05,0.002651,0.001,0.01169,0.005978,0.0003663,0.01969,,,
0.1,0.01,0,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,3,1.955e-05,-2.148e-07,8.457e-05,0.0001662,-3.8e-05,0.0006388,0.01317,0.004279,0.03096,0.01072,0.004285,0.02228,-0.08905,-1.391,0.5
0.1,0.01,0,0.02,1,TRUE,SBayesS,,,,-3.463e-08,-2.772e-05,2.504e-05,6.005e-05,-6.945e-05,0.0002013,0.007319,0.005744,0.009585,0.06476,0.05209,0.08137,-0.1772,-0.3216,-0.09452
0.1,0.01,0,0.02,1,TRUE,LDSc,,,,,,,,,,0.006827,-0.02097,0.03462,,,,,,
0.1,0.01,0,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,12,0.0002147,9.254e-05,0.000369,0.0005692,0.0003557,0.0007949,0.007075,0.004482,0.008712,0.007818,0.001678,0.01802,,,
0.1,0.01,0,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,10,0.0002024,8.549e-05,0.0003827,0.0005941,0.0002692,0.001031,0.006511,0.003467,0.01056,0.008262,0.00254,0.01883,-0.08455,-0.8556,0.5
0.1,0.01,0,0.2,1,FALSE,SBayesS,,,,0.0002046,9.211e-05,0.0003663,0.0007177,0.0005343,0.0009541,0.007335,0.006277,0.0092,0.05923,0.04536,0.07973,-0.07506,-0.1755,0.1355
0.1,0.01,0,0.2,1,FALSE,LDSc,,,,,,,,,,0.008205,0.005222,0.01119,,,,,,
0.1,0.01,0,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,5,0.0002035,8.562e-05,0.0003704,0.0009054,0.0005405,0.001224,0.01074,0.005827,0.01325,0.005858,0.001211,0.01331,,,
0.1,0.01,0,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,11,0.0002052,8.397e-05,0.0003584,0.0009376,0.0004285,0.001645,0.0106,0.004893,0.01659,0.008438,0.002058,0.01701,-0.2647,-0.9142,0.5
0.1,0.01,0,0.2,1,TRUE,SBayesS,,,,0.0002093,9.348e-05,0.0003798,0.001069,0.0007477,0.001451,0.01217,0.009124,0.01478,0.04751,0.03741,0.06399,-0.6431,-0.8515,-0.4892
0.1,0.01,0,0.2,1,TRUE,LDSc,,,,,,,,,,0.0128,0.008147,0.01745,,,,,,
0.1,0.01,-0.5,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,7,2.209e-05,-1.128e-07,9.343e-05,1.825e-05,-1.262e-06,4.702e-05,0.0012,0.001,0.002054,0.009541,0.001425,0.02412,,,
0.1,0.01,-0.5,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,4,2.248e-05,-6.764e-08,9.253e-05,6.236e-05,1.056e-07,0.0001959,0.002359,0.001,0.005339,0.01,0.003981,0.02349,-0.556,-1.225,0.4636
0.1,0.01,-0.5,0.02,1,FALSE,SBayesS,,,,1.362e-05,-1.569e-06,7.805e-05,1.924e-05,-1.021e-06,4.338e-05,0.0011,0.0008702,0.001587,0.05702,0.04547,0.07359,-0.1601,-0.2768,0.03771
0.1,0.01,-0.5,0.02,1,FALSE,LDSc,,,,,,,,,,-0.000546,-0.003101,0.002009,,,,,,
0.1,0.01,-0.5,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,4,1.901e-05,-6.518e-08,8.187e-05,3.609e-06,-3.109e-05,4.939e-05,0.001948,0.001,0.007106,0.006641,0.001035,0.01604,,,
