pheno,set,use_mle,jump_sign,n_keep,h2_ldsc_est_1,h2_ldsc_est_2,h2_ldsc_est_3,h2_est_1,h2_est_2,h2_est_3,p_est_1,p_est_2,p_est_3,alpha_est_1,alpha_est_2,alpha_est_3,r2_est_1,r2_est_2,r2_est_3,r2_1,r2_2,r2_3
albumin,hm3,TRUE,FALSE,50,0.1337,0.1185,0.1489,0.1483,0.1394,0.1575,0.00925,0.007308,0.01164,-0.7761,-0.8569,-0.6909,0.07559,0.07298,0.07824,0.077,0.07192,0.08206
albumin,hm3,FALSE,FALSE,50,0.1337,0.1185,0.1489,0.1451,0.1358,0.1538,0.006977,0.005129,0.009191,,,,0.07724,0.07531,0.07916,0.07603,0.07133,0.08042
albumin,hm3_plus,TRUE,FALSE,50,0.1813,0.1623,0.2003,0.1712,0.1603,0.1822,0.007763,0.006095,0.009742,-0.8315,-0.8773,-0.7854,0.0826,0.07994,0.08531,0.08391,0.07891,0.08873
albumin,hm3_plus,FALSE,FALSE,50,0.1813,0.1623,0.2003,0.1657,0.1542,0.1763,0.005578,0.004158,0.007188,,,,0.08442,0.08232,0.08643,0.08237,0.07721,0.08781
albumin,hm3_small,TRUE,FALSE,50,0.1289,0.1141,0.1437,0.1604,0.1508,0.1702,0.01075,0.008569,0.01352,-0.8078,-0.8826,-0.7294,0.08016,0.07737,0.08295,0.07674,0.07188,0.08158
albumin,hm3_small,FALSE,FALSE,50,0.1289,0.1141,0.1437,0.1582,0.1483,0.1671,0.008802,0.006506,0.0116,,,,0.08137,0.07935,0.08333,0.07612,0.07108,0.08078
albumin,hm3_altpop,TRUE,FALSE,50,0.1393,0.1232,0.1554,0.1562,0.1472,0.1651,0.01004,0.008022,0.01228,-0.7944,-0.8747,-0.713,0.07844,0.0758,0.08112,0.07677,0.07206,0.08164
albumin,hm3_altpop,FALSE,FALSE,50,0.1393,0.1232,0.1554,0.153,0.1442,0.1614,0.007591,0.005797,0.00976,,,,0.08037,0.07834,0.08234,0.07591,0.07141,0.0804
ankle_spacing,hm3,TRUE,FALSE,50,0.307,0.2805,0.3334,0.3247,0.3105,0.3394,0.01787,0.01493,0.02154,-0.6714,-0.7365,-0.6023,0.1645,0.1594,0.1697,0.1617,0.1535,0.1694
ankle_spacing,hm3,FALSE,FALSE,50,0.307,0.2805,0.3334,0.3235,0.3098,0.3362,0.01301,0.01036,0.01597,,,,0.1691,0.1655,0.1726,0.1594,0.1513,0.1673
ankle_spacing,hm3_plus,TRUE,FALSE,50,0.4061,0.376,0.4362,0.3693,0.3523,0.3856,0.01623,0.01349,0.01903,-0.7056,-0.7457,-0.6637,0.173,0.1678,0.178,0.1675,0.1595,0.1754
ankle_spacing,hm3_plus,FALSE,FALSE,50,0.4061,0.376,0.4362,0.3721,0.3553,0.388,0.01154,0.00942,0.01394,,,,0.177,0.1731,0.1807,0.1629,0.1555,0.1707
ankle_spacing,hm3_small,TRUE,FALSE,50,0.2965,0.2709,0.3221,0.3556,0.3402,0.371,0.02072,0.01742,0.02442,-0.731,-0.7904,-0.6679,0.1786,0.1736,0.1838,0.16,0.1523,0.1676
ankle_spacing,hm3_small,FALSE,FALSE,50,0.2965,0.2709,0.3221,0.3574,0.344,0.37,0.01789,0.01431,0.02223,,,,0.1811,0.1777,0.1845,0.1588,0.1511,0.1663
ankle_spacing,hm3_altpop,TRUE,FALSE,50,0.3207,0.2928,0.3487,0.3445,0.33,0.359,0.01954,0.01652,0.02337,-0.7221,-0.7824,-0.6589,0.1726,0.1676,0.1776,0.1599,0.1526,0.1677
ankle_spacing,hm3_altpop,FALSE,FALSE,50,0.3207,0.2928,0.3487,0.3434,0.3289,0.3561,0.01428,0.01144,0.01739,,,,0.1778,0.1741,0.1814,0.1579,0.1502,0.1659
apoA,hm3,TRUE,FALSE,50,0.2336,0.1588,0.3084,0.235,0.2249,0.245,0.007136,0.005644,0.008801,-0.8606,-0.967,-0.7592,0.1597,0.1564,0.1631,0.1563,0.1504,0.1626
apoA,hm3,FALSE,FALSE,50,0.2336,0.1588,0.3084,0.221,0.2105,0.2317,0.003981,0.002971,0.005213,,,,0.1618,0.1588,0.1647,0.1529,0.1466,0.1592
apoA,hm3_plus,TRUE,FALSE,50,0.2939,0.2134,0.3745,0.2616,0.2503,0.2731,0.00631,0.005146,0.007664,-0.7882,-0.8373,-0.7371,0.1696,0.1663,0.1731,0.1639,0.1572,0.1705
apoA,hm3_plus,FALSE,FALSE,50,0.2939,0.2134,0.3745,0.2382,0.2262,0.2505,0.003054,0.002322,0.003951,,,,0.171,0.1678,0.1741,0.1592,0.1529,0.166
apoA,hm3_small,TRUE,FALSE,50,0.2235,0.1535,0.2934,0.259,0.2482,0.27,0.008328,0.006733,0.0102,-0.915,-1.005,-0.8265,0.1736,0.1702,0.1773,0.1536,0.1472,0.1598
apoA,hm3_small,FALSE,FALSE,50,0.2235,0.1535,0.2934,0.2476,0.2361,0.2589,0.005282,0.004036,0.00679,,,,0.1758,0.1726,0.1789,0.1509,0.1449,0.1571
apoA,hm3_altpop,TRUE,FALSE,50,0.2473,0.1668,0.3278,0.2527,0.2424,0.2629,0.007821,0.006331,0.009501,-0.9051,-0.9996,-0.8126,0.1705,0.1669,0.174,0.1543,0.1479,0.1599
apoA,hm3_altpop,FALSE,FALSE,50,0.2473,0.1668,0.3278,0.2392,0.2282,0.2499,0.004601,0.003508,0.005854,,,,0.1727,0.1696,0.1759,0.1513,0.145,0.1573
apoB,hm3,TRUE,FALSE,50,0.14,0.07596,0.204,0.1636,0.1577,0.1699,0.001278,0.0008792,0.001772,-1.334,-1.5,-0.8264,0.1412,0.1386,0.1437,0.1439,0.1382,0.1498
apoB,hm3,FALSE,FALSE,50,0.14,0.07596,0.204,0.1622,0.156,0.1686,0.001116,0.0007274,0.001618,,,,0.1414,0.1392,0.1436,0.1437,0.1378,0.1492
apoB,hm3_plus,TRUE,FALSE,50,0.1853,0.09803,0.2727,0.1779,0.171,0.1853,0.001132,0.0007883,0.001568,-0.8463,-1.06,-0.6853,0.1503,0.1478,0.153,0.1513,0.1457,0.1573
apoB,hm3_plus,FALSE,FALSE,50,0.1853,0.09803,0.2727,0.1727,0.166,0.1798,0.0007964,0.0005243,0.001155,,,,0.1509,0.1485,0.1533,0.1502,0.1443,0.1561
apoB,hm3_small,TRUE,FALSE,50,0.1354,0.074,0.1969,0.1786,0.1724,0.185,0.001419,0.001006,0.001925,-1.165,-1.5,-0.6723,0.1534,0.1507,0.156,0.1368,0.1307,0.1427
apoB,hm3_small,FALSE,FALSE,50,0.1354,0.074,0.1969,0.1796,0.1731,0.1864,0.001529,0.001037,0.002155,,,,0.1531,0.1507,0.1554,0.137,0.1315,0.143
apoB,hm3_altpop,TRUE,FALSE,50,0.1484,0.07834,0.2185,0.1888,0.1832,0.1948,0.001173,0.0008413,0.001591,-0.9189,-1.359,-0.4575,0.1666,0.1639,0.1693,0.135,0.1291,0.1409
apoB,hm3_altpop,FALSE,FALSE,50,0.1484,0.07834,0.2185,0.1905,0.1844,0.1968,0.001361,0.0009316,0.001893,,,,0.166,0.1636,0.1684,0.1356,0.1296,0.1416
avMSE,hm3,TRUE,FALSE,50,0.2955,0.2601,0.331,0.3212,0.2883,0.3529,0.008946,0.006264,0.01239,-0.5965,-0.7165,-0.4577,0.1129,0.1058,0.1202,0.1166,0.1062,0.1279
avMSE,hm3,FALSE,FALSE,50,0.2955,0.2601,0.331,0.3176,0.2836,0.3479,0.006766,0.004363,0.01008,,,,0.1156,0.1107,0.1207,0.1146,0.1032,0.1259
avMSE,hm3_plus,TRUE,FALSE,50,0.4059,0.3671,0.4447,0.3597,0.3239,0.396,0.007656,0.00553,0.01034,-0.6182,-0.7035,-0.5192,0.1188,0.1121,0.1262,0.1204,0.1088,0.1313
avMSE,hm3_plus,FALSE,FALSE,50,0.4059,0.3671,0.4447,0.3718,0.3283,0.409,0.005985,0.003941,0.008545,,,,0.1202,0.1148,0.1253,0.1151,0.1051,0.1263
avMSE,hm3_small,TRUE,FALSE,50,0.286,0.2514,0.3207,0.3431,0.3084,0.3775,0.009838,0.006991,0.01336,-0.635,-0.7466,-0.5128,0.1198,0.112,0.1275,0.1159,0.105,0.1271
avMSE,hm3_small,FALSE,FALSE,50,0.286,0.2514,0.3207,0.347,0.3118,0.3766,0.008728,0.00558,0.0132,,,,0.1214,0.1162,0.1263,0.1151,0.1043,0.1266
avMSE,hm3_altpop,TRUE,FALSE,50,0.3123,0.2755,0.3491,0.3333,0.3016,0.3649,0.009528,0.006956,0.01279,-0.6303,-0.7419,-0.5035,0.1153,0.1078,0.1229,0.1164,0.1062,0.1278
avMSE,hm3_altpop,FALSE,FALSE,50,0.3123,0.2755,0.3491,0.3295,0.2963,0.3587,0.007128,0.004774,0.01014,,,,0.1187,0.1135,0.1238,0.1142,0.1036,0.1249
birth_weight,hm3,TRUE,FALSE,50,0.1126,0.1005,0.1247,0.117,0.1049,0.1289,0.008807,0.006173,0.01216,-0.6041,-0.7223,-0.4719,0.03976,0.03715,0.04256,0.04038,0.03637,0.0452
birth_weight,hm3,FALSE,FALSE,50,0.1126,0.1005,0.1247,0.1167,0.1046,0.1279,0.007015,0.004581,0.01056,,,,0.04065,0.03887,0.04248,0.0392,0.03489,0.04379
